context,question,answer
"Tội làm lính đánh thuê

Người nào làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, thì bị phạt tù từ 05 năm đến 15 năm.

Phần thứ ba

ĐIỀU KHOẢN THI HÀNH","Người làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?",từ 05 năm đến 15 năm
"Tội cố ý bỏ thương binh, tử sỹ hoặc không chăm sóc, cứu chữa thương binh

1. Người nào có trách nhiệm mà cố ý bỏ thương binh, tử sĩ tại trận địa hoặc không chăm sóc, cứu chữa thương binh dẫn đến không tìm thấy thương binh, tử sỹ hoặc thương binh bị chết, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 05 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 10 năm:

a) Là chỉ huy hoặc sĩ quan;

b) Đối với 02 thương binh hoặc 02 tử sỹ trở lên.",Người có trách nhiệm mà cố ý bỏ nhiều hơn 2 thương binh tại trận địa dẫn đến thương binh bị chết thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?,từ 03 năm đến 10 năm
"Tội vi phạm quy định về trực ban, trực chiến, trực chỉ huy

1. Người nào không chấp hành nghiêm chỉnh chế độ trực ban, trực chiến, trực chỉ huy gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 05 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 10 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong khi thực hiện nhiệm vụ cứu hộ, cứu nạn;

d) Trong tình trạng khẩn cấp;

đ) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.","Người không chấp hành nghiêm chỉnh chế độ trực ban, trực chiến, trực chỉ huy gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng, thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?",từ 03 năm đến 10 năm
"Tội trốn tránh nhiệm vụ

1. Người nào tự gây thương tích, gây tổn hại cho sức khỏe của mình hoặc dùng thủ đoạn gian dối khác để trốn tránh nhiệm vụ, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Là chỉ huy hoặc sĩ quan;

b) Lôi kéo người khác phạm tội;

c) Trong thời chiến;

d) Trong khi thực hiện nhiệm vụ cứu hộ, cứu nạn;

đ) Trong tình trạng khẩn cấp;

e) Gây hậu quả nghiêm trọng.

3. Phạm tội gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng, thì bị phạt từ từ 05 năm đến 10 năm.","Người tự gây thương tích, gây tổn hại cho sức khỏe của mình hoặc dùng thủ đoạn gian dối khác để trốn tránh nhiệm vụ, thì bị phạt cải tạo không giam giữ đến bao nhiêu năm?",02 năm
"Tội đầu hàng địch

1. Người nào đầu hàng địch, thì bị phạt tù từ 03 năm đến 10 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm:

a) Là chỉ huy hoặc sĩ quan;

b) Giao nộp cho địch vũ khí, phương tiện kỹ thuật quân sự;

c) Giao nộp tài liệu quan trọng hoặc khai báo bí mật công tác quân sự;

d) Lôi kéo người khác phạm tội;

đ) Gây hậu quả nghiêm trọng hoặc rất nghiêm trọng.

3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân:

a) Giao nộp cho địch vật, tài liệu bí mật nhà nước hoặc khai báo bí mật nhà nước;

b) Gây hậu quả đặc biệt nghiêm trọng.",Người là sĩ quan đầu hàng địch thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?,từ 07 năm đến 15 năm
"Tội làm nhục đồng đội

1. Người nào trong quan hệ công tác mà xúc phạm nghiêm trọng nhân phẩm, danh dự đồng đội, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 05 năm:

a) Là chỉ huy hoặc sỹ quan;

b) Đối với chỉ huy hoặc cấp trên; c) Vì lý do công vụ của nạn nhân; d) Trong khu vực có chiến sự;

đ) Phạm tội 02 lần trở lên;

e) Đối với 02 người trở lên;

g) Gây rối loạn tâm thần và hành vi của nạn nhân 46% trở lên;

h) Làm nạn nhân tự sát.","Người trong quan hệ công tác mà xúc phạm nghiêm trọng nhân phẩm, danh dự đồng đội, dẫn đến nạn nhân tự sát thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?",từ 02 năm đến 05 năm
"Tội trốn khỏi nơi giam, giữ hoặc trốn khi đang bị áp giải, đang bị xét xử

1. Người nào đang bị tạm giữ, tạm giam, áp giải, xét xử hoặc chấp hành án phạt tù mà bỏ trốn, thì bị phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 10 năm:

a) Có tổ chức;

b) Dùng vũ lực đối với người canh gác hoặc người áp giải.","Người đang bị tạm giữ, tạm giam, áp giải, xét xử hoặc chấp hành án phạt tù mà bỏ trốn, thì bị phạt tù từ bao lâu đến bao lâu?",từ 06 tháng đến 03 năm
"Tội lạm quyền trong khi thi hành công vụ

1. Người nào vì vụ lợi hoặc động cơ cá nhân khác mà vượt quá quyền hạn của mình làm trái công vụ gây thiệt hại về tài sản từ 10.000.000 đồng đến dưới 100.000.000 đồng hoặc gây thiệt hại đến lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân, thì bị phạt tù từ 01 năm đến 07 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm:

a) Có tổ chức;

b) Phạm tội 02 lần trở lên;

c) Gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.

3. Phạm tội gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng, thì bị phạt tù từ 10 năm đến 15 năm.

4. Phạm tội gây thiệt hại về tài sản 1.500.000.000 đồng trở lên, thì bị phạt tù từ 15 năm đến 20 năm.

5. Người phạm tội còn bị cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm, có thể bị phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng.",Người phạm tội lạm quyền trong khi thi hành công vụ còn bị cấm đảm nhiệm chức vụ nhất định từ bao nhiêu đến bao nhiêu năm?,từ 01 năm đến 05 năm
"Tội lạm quyền trong khi thi hành công vụ

1. Người nào vì vụ lợi hoặc động cơ cá nhân khác mà vượt quá quyền hạn của mình làm trái công vụ gây thiệt hại về tài sản từ 10.000.000 đồng đến dưới 100.000.000 đồng hoặc gây thiệt hại đến lợi ích của Nhà nước, quyền, lợi ích hợp pháp của tổ chức, cá nhân, thì bị phạt tù từ 01 năm đến 07 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 10 năm:

a) Có tổ chức;

b) Phạm tội 02 lần trở lên;

c) Gây thiệt hại về tài sản từ 100.000.000 đồng đến dưới 500.000.000 đồng.

3. Phạm tội gây thiệt hại về tài sản từ 500.000.000 đồng đến dưới 1.500.000.000 đồng, thì bị phạt tù từ 10 năm đến 15 năm.

4. Phạm tội gây thiệt hại về tài sản 1.500.000.000 đồng trở lên, thì bị phạt tù từ 15 năm đến 20 năm.

5. Người phạm tội còn bị cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm, có thể bị phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng.",Người phạm tội lạm quyền trong khi thi hành công vụ còn có thể bị phạt tiền từ bao nhiêu đến bao nhiêu tiền?,từ 10.000.000 đồng đến 100.000.000 đồng
"Tội vi phạm quy định về xuất cảnh, nhập cảnh; tội ở lại Việt Nam trái phép

Người nào xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm.","Người xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tiền từ bao nhiêu đến bao nhiêu?",từ 5.000.000 đồng đến 50.000.000 đồng
"Tội vi phạm quy định về xuất cảnh, nhập cảnh; tội ở lại Việt Nam trái phép

Người nào xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm.","Người xuất cảnh, nhập cảnh trái phép hoặc ở lại Việt Nam trái phép, đã bị xử phạt vi phạm hành chính về hành vi này mà còn vi phạm, thì bị phạt tù từ bao lâu đến bao lâu?",từ 06 tháng đến 03 năm
"Tội vi phạm các quy định về bảo vệ và sử dụng di tích lịch sử - văn hóa, danh lam, thắng cảnh gây hậu quả nghiêm trọng

1. Người nào vi phạm các quy định về bảo vệ và sử dụng các di tích lịch sử - văn hóa, danh lam, thắng cảnh, gây hư hại di tích lịch sử - văn hóa, danh lam, thắng cảnh có giá trị từ 100.000.000 đồng đến dưới 500.000.000 đồng; hủy hoại, làm thay đổi yếu tố gốc cấu thành di tích lịch sử - văn hóa, danh lam thắng cảnh cấp tỉnh hoặc đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt cảnh cáo, phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng, phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội trong trường hợp gây hư hại di tích lịch sử - văn hóa, danh lam, thắng cảnh có giá trị từ 500.000.000 đồng trở lên hoặc hủy hoại, làm thay đổi yếu tố gốc cấu thành di tích lịch sử - văn hóa, danh lam thắng cảnh cấp quốc gia hoặc cấp quốc gia đặc biệt, thì bị phạt tù từ 03 năm đến 07 năm.","Người gây hư hại di tích lịch sử - văn hóa, danh lam, thắng cảnh có giá trị từ 500.000.000 đồng trở lên, thì bị phạt tù từ bao lâu đến bao lâu?",từ 03 năm đến 07 năm
"Tội vi phạm các quy định về quản lý nhà ở

1. Người nào chiếm dụng chỗ ở, xây dựng nhà trái phép, đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

Nhà ở, công trình xây dựng trái phép có thể bị dỡ bỏ, trưng mua hoặc tịch thu.

2. Người phạm tội còn có thể bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng.",Người phạm tội vi phạm các quy định về quản lý nhà ở còn có thể bị phạt tiền từ bao nhiêu đến bao nhiêu?,từ 5.000.000 đồng đến 50.000.000 đồng
"Tội chiếm đoạt, mua bán, tiêu hủy con dấu, tài liệu của cơ quan, tổ chức

1. Người nào chiếm đoạt, mua bán hoặc tiêu hủy trái phép con dấu, tài liệu của cơ quan, tổ chức không thuộc tài liệu bí mật nhà nước hoặc bí mật công tác, thì bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 05 năm:

a) Có tổ chức;

b) Thu lợi bất chính 10.000.000 đồng trở lên;

c) Thực hiện hành vi trái pháp luật;

d) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 5.000.000 đồng đến 20.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Người chiếm đoạt, mua bán hoặc tiêu hủy trái phép con dấu, tài liệu của cơ quan, tổ chức không thuộc tài liệu bí mật nhà nước hoặc bí mật công tác, thì bị phạt cải tạo không giam giữ đến bao lâu?",02 năm
"Tội giả mạo chức vụ, cấp bậc, vị trí công tác

Người nào giả mạo chức vụ, cấp bậc, vị trí công tác thực hiện hành vi trái pháp luật nhưng không nhằm mục đích chiếm đoạt tài sản, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.","Người giả mạo chức vụ, cấp bậc, vị trí công tác thực hiện hành vi trái pháp luật nhưng không nhằm mục đích chiếm đoạt tài sản, thì bị phạt cải tạo không giam giữ đến bao lâu?",02 năm
"Tội cản trở việc thực hiện nghĩa vụ quân sự

1. Người nào cố ý cản trở việc đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội trong trường hợp lợi dụng chức vụ, quyền hạn hoặc trong thời chiến, thì bị phạt tù từ 02 năm đến 05 năm.","Người cố ý cản trở việc đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến bao lâu?",02 năm
"Tội cản trở việc thực hiện nghĩa vụ quân sự

1. Người nào cố ý cản trở việc đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội trong trường hợp lợi dụng chức vụ, quyền hạn hoặc trong thời chiến, thì bị phạt tù từ 02 năm đến 05 năm.","Người phạm tội cản trở thực hiện nghĩa vụ quân sự trong thời chiến, thì bị phạt tù từ bao lâu đến bao lâu?",từ 02 năm đến 05 năm
"Tội đăng ký hộ tịch trái pháp luật

1. Người nào có nhiệm vụ, quyền hạn mà thực hiện việc đăng ký, cấp giấy tờ về hộ tịch trái pháp luật, đã bị xử lý kỷ luật về hành vi này mà còn vi phạm, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 tháng đến 02 năm:

a) Đăng ký, cấp giấy tờ về hộ tịch trái pháp luật cho 02 người trở lên;

b) Giấy tờ về hộ tịch đã được cấp, đăng ký trái pháp luật được sử dụng để thực hiện hành vi trái pháp luật.

3. Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm.","Người có nhiệm vụ, quyền hạn mà thực hiện việc đăng ký, cấp giấy tờ về hộ tịch trái pháp luật, đã bị xử lý kỷ luật về hành vi này mà còn vi phạm, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến bao lâu?",03 năm
"Tội làm trái quy định về việc thực hiện nghĩa vụ quân sự

1. Người nào lợi dụng chức vụ, quyền hạn làm trái quy định về đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội trong thời chiến, thì bị phạt tù từ 02 năm đến 07 năm.

3. Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm.","Người lợi dụng chức vụ, quyền hạn làm trái quy định về đăng ký nghĩa vụ quân sự, gọi nhập ngũ, gọi tập trung huấn luyện, thì bị phạt cải tạo không giam giữ đến bao lâu?",03 năm
"Tội trốn tránh nghĩa vụ quân sự

1. Người nào không chấp hành đúng quy định của pháp luật về đăng ký nghĩa vụ quân sự, không chấp hành lệnh gọi nhập ngũ, lệnh gọi tập trung huấn luyện, đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm:

a) Tự gây thương tích hoặc gây tổn hại cho sức khỏe của mình;

b) Phạm tội trong thời chiến;

c) Lôi kéo người khác phạm tội.","Người phạm tội trốn tránh nghĩa vụ quân sự trong thời chiến, thì bị phạt tù từ bao nhiêu năm đến bao nhiêu năm?",từ 01 đến 05 năm
"Tội chống người thi hành công vụ

1. Người nào dùng vũ lực, đe dọa dùng vũ lực hoặc dùng thủ đoạn khác cản trở người thi hành công vụ thực hiện công vụ của họ hoặc ép buộc họ thực hiện hành vi trái pháp luật, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Có tổ chức;

b) Phạm tội 02 lần trở lên;

c) Xúi giục, lôi kéo, kích động người khác phạm tội;

d) Gây thiệt hại về tài sản 50.000.000 đồng trở lên;

đ) Tái phạm nguy hiểm.","Người dùng vũ lực, đe dọa dùng vũ lực hoặc dùng thủ đoạn khác cản trở người thi hành công vụ thực hiện công vụ của họ, thì bị phạt cải tạo không giam giữ đến bao lâu?",03 năm
"Tội mua dâm người dưới 18 tuổi

1. Người nào đủ 18 tuổi trở lên mua dâm người dưới 18 tuổi trừ trường hợp quy định tại điểm b khoản 1 Điều 142 của Bộ luật này, thì bị phạt tù từ 01 năm đến 05 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm:

a) Mua dâm 02 lần trở lên;

b) Mua dâm người từ đủ 13 tuổi đến dưới 16 tuổi;

c) Gây tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể từ 31% đến 60%.

3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 15 năm:

a) Phạm tội 02 lần trở lên đối với người từ đủ 13 tuổi đến dưới 16 tuổi;

b) Gây tổn hại cho sức khỏe của nạn nhân mà tỷ lệ tổn thương cơ thể 61% trở lên.

4. Người phạm tội còn bị phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng.","Theo Bộ luật Hình sự 2017, người đủ 18 tuổi trở lên mua dâm người dưới 18 tuổi trừ trường hợp quy định tại điểm b khoản 1 Điều 142 của Bộ luật này, thì bị phạt tù từ bao lâu đến bao lâu?",từ 01 năm đến 05 năm
